joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,distance_ft,Height[ft],feature_type,depth_pct,id_reduction_pct,anomaly_length_in,anomaly_width_in,burst_pressure_psi,clock_position,internal_external,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned
,,0.449,,-27.82,803.6748,Launcher Start,,,,,,nan,,,2007,Launcher Start_-27.8,False,-27.82,-27.43999999999989
,,,,-19.48,803.6644,Support,,,,,,06:00,,,2007,Support_-19.5,False,-19.48,-19.09999999999989
,,,,-15.78,803.6598,Support,,,,,,06:00,,,2007,Support_-15.8,False,-15.78,-15.39999999999989
,,,,-12.21,803.6553,Tap,,,,,,06:00,,,2007,Tap_-12.2,False,-12.21,-11.829999999999892
,,,,-6.49,803.6481,Support,,,,,,nan,,Strap,2007,Support_-6.5,False,-6.49,-6.109999999999891
10.0,26.46,0.5,,-5.3,803.6466,Flange,,,,,,nan,,,2007,Flange_-5.3,False,-5.3,-4.919999999999891
,,,,-1.38,803.6417,Tap,,,,,,09:00,,,2007,Tap_-1.4,False,-1.38,-0.9999999999998908
,,,,0.0,803.64,Valve,,,,,,nan,,,2007,Valve_0.0,False,0.0,0.38000000000010914
,,,,1.41,803.6382,Tap,,,,,,09:00,,,2007,Tap_1.4,False,1.41,1.790000000000109
,,,,8.08,803.6299,Tee,,,,,,09:00,,,2007,Tee_8.1,False,8.08,8.46000000000011
,,,,11.21,803.4864,Tap,,,,,,12:00,,,2007,Tap_11.2,False,11.21,11.59000000000011
,,,,15.36,802.9064,Bend,,,,,,nan,,5.1D - 32Â° - Over,2007,Bend_15.4,False,15.36,15.740000000000109
20.0,7.23,0.344,,21.15,801.7901,Launcher End,,,,,,nan,,"0.344""",2007,Launcher End_21.1,False,21.15,21.530000000000108
,,,,21.57,801.71,Magnet,,,,,,12:00,,ROSEN,2007,Magnet_21.6,False,21.57,21.95000000000011
30.0,10.62,0.5,,28.38,800.413,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_28.4,False,28.38,28.760000000000108
,,,,29.8,800.2077,Above Ground Marker,,,,,,nan,,Launcher,2007,Above Ground Marker_29.8,False,29.8,30.18000000000011
,,,,33.82,799.8962,Bend,,,,,,nan,,6.1D - 42Â° - Sag,2007,Bend_33.8,False,33.82,34.20000000000011
40.0,14.91,0.5,,39.0,799.8944,Girth Weld,,,,,,nan,,,2007,Girth Weld_39.0,False,39.0,39.38000000000011
,,,,46.17,799.9008,Bend,,,,,,nan,,5.8D - 45Â° - Right,2007,Bend_46.2,False,46.17,46.55000000000011
50.0,39.89,0.344,,53.91,799.9028,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_53.9,False,53.91,54.290000000000106
60.0,9.64,0.5,,93.8,799.8784,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_93.8,False,93.8,94.1800000000001
,,,,98.5,799.8591,Bend,,,,,,nan,,5.0D - 23Â° - Left,2007,Bend_98.5,False,98.5,98.88000000000011
70.0,25.02,0.344,,103.43,799.8257,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_103.4,False,103.43,103.81000000000012
