joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,dist_to_downstream_gw_ft,distance_ft,feature_type,internal_external,depth_pct,depth_in,od_reduction_pct,od_reduction_in,anomaly_length_in,anomaly_width_in,clock_position,comments,Anomalies per Joint,Tool Velocity [ft/s],elevation_ft,Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),mop_psi,smys_psi,Seam Type,design_pressure_psi,B31G Psafe [PSI],B31G Pburst [PSI],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned
,,,,,-14.6,Launcher Start,,,,,,,,nan,,,,233.7,,,,,,,,,,,,,,,,2015,Launcher Start_-14.6,False,-14.6,-14.6
,,,,,-1.39,Tap,,,,,,,,09:00,,,,233.5,,,,,,,,,,,,,,,,2015,Tap_-1.4,False,-1.39,-1.39
,,,,,0.0,Valve,,,,,,,,nan,,,,233.47,,,,,,,,,,,,,,,,2015,Valve_0.0,False,0.0,0.0
,,,,,1.4,Tap,,,,,,,,09:00,,,,233.45,,,,,,,,,,,,,,,,2015,Tap_1.4,False,1.4,1.4
,,,,,8.16,Tee,,,,,,,,09:00,,,,233.29,,,,,,,,,,,,,,,,2015,Tee_8.2,False,8.16,8.16
,,,,,11.12,Tap,,,,,,,,12:00,,,,233.22,,,,,,,,,,,,,,,,2015,Tap_11.1,False,11.12,11.12
,,,,,15.13,Bend,,,,,,,,nan,6.2D -  31Â° - Over,,,232.5,,,,,,,,,,,,,,,,2015,Bend_15.1,False,15.13,15.13
,,,,,19.09,Magnet,,,,,,,,12:00,ROSEN,,,230.46,,,,,,,,,,,,,,,,2015,Magnet_19.1,False,19.09,19.09
0.01,7.7,0.344,,,20.99,Launcher End,,,,,,,,nan,,,0.7,229.22,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Launcher End_21.0,False,20.99,20.99
0.01,,,,,26.53,Above Ground Marker,,,,,,,,nan,"LAUNCHER VALVE 22'6"" D/S OF DOOR",,,225.52,,,,,,,,,,,,,,,,2015,Above Ground Marker_26.5,False,26.53,26.53
30.0,10.14,0.5,,,28.69,Girth Weld,,,,,,,,nan,,,0.7,224.08,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_28.7,False,28.69,28.69
30.0,,,,,34.13,Bend,,,,,,,,nan,5.5D -  42Â° - Sag,,,221.04,,,,,,,,,,,,,,,,2015,Bend_34.1,False,34.13,34.13
40.0,14.89,0.5,,,38.83,Girth Weld,,,,,,,,nan,,,0.7,220.32,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_38.8,False,38.83,38.83
40.0,,,,,46.35,Bend,,,,,,,,nan,5.7D -  53Â° - Right,,,220.25,,,,,,,,,,,,,,,,2015,Bend_46.4,False,46.35,46.35
50.0,40.34,0.344,,,53.72,Girth Weld,,,,,,,,nan,,,0.7,220.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_53.7,False,53.72,53.72
60.0,9.27,0.5,,,94.06,Girth Weld,,,,,,,,nan,,,0.7,219.03,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_94.1,False,94.06,94.06
60.0,,,,,98.98,Bend,,,,,,,,nan,5.7D -  23Â° - Left,,,218.88,,,,,,,,,,,,,,,,2015,Bend_99.0,False,98.98,98.98
70.0,8.19,0.5,,,103.33,Girth Weld,,,,,,,,nan,,,0.7,218.74,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_103.3,False,103.33,103.33
70.0,,,,,107.6,Bend,,,,,,,,nan,5.2D -  18Â° - Over,,,218.56,,,,,,,,,,,,,,,,2015,Bend_107.6,False,107.6,107.6
70.01,17.36,0.344,,,111.52,Girth Weld,,,,,,,,nan,,,0.7,218.01,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_111.5,False,111.52,111.52
80.0,15.14,0.344,,,128.88,Girth Weld,,,,,,,,nan,,,0.7,211.68,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_128.9,False,128.88,128.88
