joint_number,joint_length,wall_thickness,dist_upstream_weld,log_distance,elevation,event_type,depth_percent,id_reduction,length,width,burst_mop,clock_position,orientation,comments,event_type_normalized,is_reference,is_anomaly,clock_decimal,original_index
,,0.344,-1.44,9473.05,780.4636,metal loss,10.0,,0.71,0.59,,5:15,Internal,,METAL_LOSS,False,True,5.25,580
,,0.344,-38.82,10202.72,826.6514,Cluster,13.0,,2.65,3.81,,7:11,External,,CLUSTER,False,True,7.183333333333334,602
,,0.344,-8.37,10392.93,824.2547,metal loss-manufacturing anomaly,17.0,,3.66,0.71,,8:22,,,METAL_LOSS_MFG,False,True,8.366666666666667,609
,,0.344,-19.7,10404.26,824.1441,metal loss-manufacturing anomaly,17.0,,3.58,0.63,,2:23,,,METAL_LOSS_MFG,False,True,2.3833333333333333,610
,,0.344,-20.9,12381.12,870.4641,metal loss-manufacturing anomaly,20.0,,3.66,2.68,,5:02,,,METAL_LOSS_MFG,False,True,5.033333333333333,673
,,0.344,-0.76,13393.85,851.3967,Cluster,14.0,,2.52,8.15,,11:48,External,,CLUSTER,False,True,11.8,707
,,0.344,-39.71,15957.99,829.9187,metal loss,10.0,,0.75,0.83,,3:57,External,,METAL_LOSS,False,True,3.95,828
,,0.344,-2.36,16000.75,833.4444,metal loss-manufacturing anomaly,16.0,,0.71,0.59,,7:30,,,METAL_LOSS_MFG,False,True,7.5,831
,,0.344,-38.78,18175.87,873.1097,Cluster,20.0,,4.97,6.79,1.74,4:24,External,,CLUSTER,False,True,4.4,899
,,0.344,-14.48,19910.87,876.2111,metal loss,10.0,,0.59,0.71,,6:40,External,,METAL_LOSS,False,True,6.666666666666667,953
,,0.344,-0.34,20016.6,870.459,metal loss,10.0,,0.71,0.67,,4:06,External,,METAL_LOSS,False,True,4.1,957
,,0.344,-22.6,21304.48,778.7127,metal loss-manufacturing anomaly,14.0,,0.59,0.59,,3:09,,,METAL_LOSS_MFG,False,True,3.15,1000
,,0.344,-39.61,21681.38,780.2943,metal loss,10.0,,2.24,1.3,,6:40,External,,METAL_LOSS,False,True,6.666666666666667,1022
,,0.344,-39.05,22483.34,774.7232,metal loss,10.0,,2.6,0.71,,6:55,External,,METAL_LOSS,False,True,6.916666666666667,1049
,,0.344,-0.92,22485.22,774.7015,metal loss-manufacturing anomaly,11.0,,3.39,0.71,,12:26,,,METAL_LOSS_MFG,False,True,12.433333333333334,1051
,,0.344,-0.76,22941.65,771.6572,Cluster,15.0,,3.23,7.6,,5:59,External,,CLUSTER,False,True,5.983333333333333,1066
,,0.344,-20.8,23162.08,771.7985,metal loss-manufacturing anomaly,25.0,,5.2,0.71,,1:40,,,METAL_LOSS_MFG,False,True,1.6666666666666665,1076
,,0.344,-37.27,23644.93,774.898,metal loss-manufacturing anomaly,10.0,,0.51,0.71,,8:36,,,METAL_LOSS_MFG,False,True,8.6,1091
,,0.344,-39.04,25249.8,799.1802,Cluster,14.0,,1.14,5.8,,5:52,External,,CLUSTER,False,True,5.866666666666667,1139
,,0.344,-3.85,26080.87,791.0148,metal loss-manufacturing anomaly,10.0,,0.67,0.59,,12:05,,,METAL_LOSS_MFG,False,True,12.083333333333334,1168
,,0.344,-23.68,27579.43,805.2976,metal loss-manufacturing anomaly,12.0,,5.24,1.38,,1:21,,,METAL_LOSS_MFG,False,True,1.35,1218
,,0.344,-25.46,27581.21,805.3021,metal loss-manufacturing anomaly,24.0,,3.9,0.87,,1:09,,,METAL_LOSS_MFG,False,True,1.15,1219
,,0.344,-26.35,27582.11,805.3051,metal loss-manufacturing anomaly,21.0,,3.42,0.75,,1:04,,,METAL_LOSS_MFG,False,True,1.0666666666666667,1220
,,0.344,-26.81,27582.56,805.3066,metal loss-manufacturing anomaly,11.0,,3.46,2.17,,1:01,,,METAL_LOSS_MFG,False,True,1.0166666666666666,1221
,,0.344,-27.12,27582.88,805.3076,metal loss-manufacturing anomaly,21.0,,3.39,0.75,,1:15,,,METAL_LOSS_MFG,False,True,1.25,1222
,,0.344,-16.37,27892.3,805.9289,metal loss-manufacturing anomaly,10.0,,3.23,1.06,,8:17,,,METAL_LOSS_MFG,False,True,8.283333333333333,1231
,,0.344,-18.8,28027.51,795.4539,metal loss-manufacturing anomaly,10.0,,0.43,0.71,,7:02,,,METAL_LOSS_MFG,False,True,7.033333333333333,1238
,,0.344,-17.92,28207.03,796.3722,metal loss-manufacturing anomaly,17.0,,4.33,1.42,,10:31,,,METAL_LOSS_MFG,False,True,10.516666666666667,1244
,,0.344,-8.91,28783.01,779.511,metal loss-manufacturing anomaly,13.0,,6.3,1.89,,4:47,,,METAL_LOSS_MFG,False,True,4.783333333333333,1260
,,0.344,-38.85,29052.98,775.465,Cluster,42.0,,5.77,42.81,1.5,3:20,External,,CLUSTER,False,True,3.3333333333333335,1268
,,0.344,-19.04,29146.54,774.8961,Cluster,35.0,,8.46,10.87,1.5,5:29,External,,CLUSTER,False,True,5.483333333333333,1273
,,0.344,-0.67,29208.08,773.6676,Cluster,11.0,,4.93,6.08,,6:29,External,,CLUSTER,False,True,6.483333333333333,1280
,,0.344,-19.71,30570.99,761.7328,metal loss-manufacturing anomaly,19.0,,3.31,0.55,,11:29,,,METAL_LOSS_MFG,False,True,11.483333333333333,1328
,,0.344,-22.16,30573.44,761.7224,metal loss-manufacturing anomaly,10.0,,4.17,4.25,,11:38,,,METAL_LOSS_MFG,False,True,11.633333333333333,1329
,,0.344,-22.74,30574.03,761.7199,metal loss-manufacturing anomaly,26.0,,3.66,0.71,,11:51,,,METAL_LOSS_MFG,False,True,11.85,1330
,,0.344,-23.47,30574.76,761.7168,metal loss-manufacturing anomaly,10.0,,3.11,0.87,,11:36,,,METAL_LOSS_MFG,False,True,11.6,1331
,,0.344,-25.58,30576.86,761.7079,metal loss-manufacturing anomaly,10.0,,3.23,1.58,,11:42,,,METAL_LOSS_MFG,False,True,11.7,1333
,,0.344,-26.01,30577.29,761.7061,metal loss-manufacturing anomaly,14.0,,4.02,3.74,,11:30,,,METAL_LOSS_MFG,False,True,11.5,1334
,,0.344,-26.71,30577.99,761.7032,metal loss-manufacturing anomaly,10.0,,4.13,8.66,,11:20,,,METAL_LOSS_MFG,False,True,11.333333333333334,1335
,,0.344,-5.65,30676.87,761.3112,metal loss-manufacturing anomaly,17.0,,3.03,0.55,,6:24,,,METAL_LOSS_MFG,False,True,6.4,1340
,,0.344,-5.65,30676.88,761.3111,metal loss-manufacturing anomaly,13.0,,2.79,0.63,,6:34,,,METAL_LOSS_MFG,False,True,6.566666666666666,1341
,,0.344,-39.04,31980.44,754.9454,Cluster,13.0,,3.34,16.86,,4:26,External,,CLUSTER,False,True,4.433333333333334,1402
,,0.344,-13.11,32925.21,749.6401,Cluster,31.0,,21.61,16.78,1.46,7:20,External,,CLUSTER,False,True,7.333333333333333,1443
,,0.344,-13.89,32925.99,749.6223,Cluster,21.0,,4.21,2.89,1.75,6:17,External,,CLUSTER,False,True,6.283333333333333,1444
