joint_number,joint_length,wall_thickness,dist_upstream_weld,dist_downstream_weld,log_distance,event_type,orientation,depth_percent,depth_inches,od_reduction_pct,od_reduction_in,length,width,clock_position,comments,Anomalies per Joint,Tool Velocity [ft/s],elevation,Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),mop,smys,Seam Type,pdesign,B31G Psafe [PSI],B31G Pburst [PSI],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,event_type_normalized,is_reference,clock_decimal,original_index
2960.0,,0.344,-27.99,12.21,10584.12,Metal Loss,External,12.0,0.041,,,1.02,1.73,6:13,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10584.1,True,10584.12,10584.12,METAL_LOSS,False,6.216666666666667,348
2960.0,,0.344,-28.06,12.13,10584.2,Metal Loss,External,10.0,0.034,,,0.79,1.5,4:33,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10584.2,True,10584.2,10584.2,METAL_LOSS,False,4.55,349
2960.0,,0.344,-28.07,12.13,10584.2,Metal Loss,External,13.0,0.045,,,0.59,0.98,5:41,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.91,2046.49,,,,,,,2015,Metal Loss_10584.2,True,10584.2,10584.2,METAL_LOSS,False,5.683333333333334,350
2960.0,,0.344,-28.61,11.59,10584.75,Metal Loss,External,13.0,0.045,,,0.79,1.18,7:08,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.14,2044.03,,,,,,,2015,Metal Loss_10584.8,True,10584.75,10584.75,METAL_LOSS,False,7.133333333333334,351
2960.0,,0.344,-30.43,9.77,10586.57,Cluster,External,33.0,0.114,,,1.8,3.5,4:20,,,0.7,153.41,,,,1160.0,65000.0,,1342.0,1424.42,1977.77,1487.55,2065.43,1490.25,2069.18,0.78,1.78,2015,Cluster_10586.6,True,10586.57,10586.57,CLUSTER,False,4.333333333333333,352
2960.0,,0.344,-30.84,9.36,10586.97,Metal Loss,External,12.0,0.041,,,1.3,2.09,4:26,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10587.0,True,10586.97,10586.97,METAL_LOSS,False,4.433333333333334,353
2960.0,,0.344,-31.02,9.18,10587.15,Metal Loss,External,12.0,0.041,,,0.59,1.42,6:02,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10587.1,True,10587.15,10587.15,METAL_LOSS,False,6.033333333333333,354
2960.0,,0.344,-31.2,8.99,10587.34,Metal Loss,External,20.0,0.069,,,0.47,1.26,4:23,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.71,2046.21,1545.78,2146.28,1545.92,2146.48,0.75,1.85,2015,Metal Loss_10587.3,True,10587.34,10587.34,METAL_LOSS,False,4.383333333333334,355
2960.0,,0.344,-31.42,8.78,10587.56,Metal Loss,External,13.0,0.045,,,0.55,0.98,4:35,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.18,2046.86,,,,,,,2015,Metal Loss_10587.6,True,10587.56,10587.56,METAL_LOSS,False,4.583333333333333,356
2960.0,,0.344,-31.61,8.59,10587.75,Metal Loss,External,10.0,0.034,,,1.18,1.1,4:17,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10587.8,True,10587.75,10587.75,METAL_LOSS,False,4.283333333333333,357
2960.0,,0.344,-31.78,8.41,10587.92,Metal Loss,External,13.0,0.045,,,0.43,1.22,4:21,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.95,2047.93,,,,,,,2015,Metal Loss_10587.9,True,10587.92,10587.92,METAL_LOSS,False,4.35,358
2960.0,,0.344,-31.84,8.36,10587.98,Metal Loss,External,22.0,0.076,,,1.18,2.21,4:16,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1460.62,2028.03,1531.04,2125.81,1532.23,2127.47,0.76,1.83,2015,Metal Loss_10588.0,True,10587.98,10587.98,METAL_LOSS,False,4.266666666666667,359
2960.0,,0.344,-32.06,8.13,10588.2,Metal Loss,External,13.0,0.045,,,0.94,1.69,4:06,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.49,2041.74,,,,,,,2015,Metal Loss_10588.2,True,10588.2,10588.2,METAL_LOSS,False,4.1,360
2960.0,,0.344,-32.33,7.87,10588.47,Cluster,External,45.0,0.155,,,1.85,2.37,4:14,,,0.7,153.4,,,,1160.0,65000.0,,1342.0,1396.33,1938.77,1450.57,2014.08,1450.79,2014.39,0.8,1.74,2015,Cluster_10588.5,True,10588.47,10588.47,CLUSTER,False,4.233333333333333,361
2960.0,,0.344,-32.61,7.58,10588.75,Metal Loss,External,16.0,0.055,,,0.51,1.97,4:25,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.07,2046.71,,,,,,,2015,Metal Loss_10588.8,True,10588.75,10588.75,METAL_LOSS,False,4.416666666666667,362
2960.0,,0.344,-32.76,7.44,10588.9,Metal Loss,External,19.0,0.065,,,0.47,0.91,4:30,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.97,2046.57,,,,,,,2015,Metal Loss_10588.9,True,10588.9,10588.9,METAL_LOSS,False,4.5,363
