joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,dist_to_downstream_gw_ft,distance_ft,feature_type,internal_external,depth_pct,depth_in,Metal Loss Depth + Tolerance[%],Dimension Classification,Metal Loss Depth Tolerance [%] (includes seamless and HAZ and modified specs),Dent Depth[%],Dent Depth[in],Is any part of the dent affecting the top of the pipe? [Y/N],anomaly_length_in,anomaly_width_in,clock_position,comments,Anomalies per Joint,Was anomaly sizing reviewed by analyst? [Y/N],Was anomaly sizing/dimensions manually changed? [Y/N],Magnetization Level [kA/m] for MFL survey or Actual WT [in] for UT Survey,elevation_ft,Seam Position[hh:mm],Distance To Seam Weld [in],Tool,design_pressure_psi,smys_psi,Pipe Type,Pipe Diameter (O.D.)[in.],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,Length Tolerance [in],Width Tolerance [in],inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,cluster_id,clock_hours
75,16.985,0.344,13.366,3.619,125.902,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,3.4,1.8,5:42,EXT ML,4,N,N,5.97,213.96,07:36,11.938,CMFL,1025,65000,E.R. WELD,24,1480.5,2056.2,1468.3,2039.3,0.692,1.104,1.0,1.2,2022,Metal Loss_125.9,True,125.902,125.145,0,5.7
75,16.985,0.344,13.842,3.143,126.378,Metal Loss,External,29.0,0.1,44.0,GENE,20.0,,,,7.0,6.1,9:03,EXT ML,4,N,N,5.97,213.782,07:36,9.215,CMFL,1025,65000,E.R. WELD,24,1317.3,1829.6,1380.6,1917.5,0.778,0.983,1.0,1.2,2022,Metal Loss_126.4,True,126.378,125.621,0,9.05
75,16.985,0.344,16.05,0.938,128.583,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,2.6,4:39,EXT ML,4,N,N,5.97,212.96,07:36,18.431,CMFL,1025,65000,E.R. WELD,24,1495.2,2076.7,1483.9,2061.0,0.686,1.114,1.0,1.2,2022,Metal Loss_128.6,True,128.583,127.82600000000002,0,4.65
75,16.985,0.344,16.306,0.682,128.839,Metal Loss,External,30.0,0.103,45.0,GENE,20.0,,,,3.0,4.0,5:59,EXT ML,4,N,N,5.97,212.865,07:36,8.796,CMFL,1025,65000,E.R. WELD,24,1434.8,1992.7,1430.7,1987.1,0.714,1.069,1.0,1.2,2022,Metal Loss_128.8,True,128.839,128.08200000000002,0,5.983333333333333
80,15.289,0.344,13.852,1.437,143.373,Metal Loss,External,32.0,0.11,47.0,GENE,20.0,,,,3.4,6.9,11:30,EXT ML,4,N,N,5.97,207.202,08:56,18.431,CMFL,1025,65000,E.R. WELD,24,1409.4,1957.5,1428.4,1983.8,0.727,1.049,1.0,1.2,2022,Metal Loss_143.4,True,143.373,142.616,1,11.5
80,15.289,0.344,14.127,1.161,143.648,Metal Loss,External,25.0,0.086,40.0,CIGR,25.0,,,,0.7,2.2,01:00,EXT ML,4,N,N,5.97,207.094,08:56,25.552,CMFL,1025,65000,E.R. WELD,24,1540.5,2139.5,1538.7,2137.1,0.665,1.148,1.0,1.2,2022,Metal Loss_143.6,True,143.648,142.89100000000002,1,1.0
80,15.289,0.344,14.134,1.155,143.655,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,3.1,3.1,8:33,EXT ML ( NEAR SW ),4,N,N,5.97,207.091,08:56,2.304,CMFL,1025,65000,E.R. WELD,24,1506.9,2092.9,1498.9,2081.8,0.68,1.123,1.0,1.2,2022,Metal Loss_143.7,True,143.655,142.89800000000002,1,8.55
80,15.289,0.344,14.154,1.135,143.675,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,2.1,4:30,EXT ML,4,N,N,5.97,207.083,08:56,27.855,CMFL,1025,65000,E.R. WELD,24,1492.8,2073.3,1480.9,2056.8,0.687,1.114,1.0,1.2,2022,Metal Loss_143.7,True,143.675,142.91800000000003,1,4.5
90,31.627,0.344,1.48,30.148,146.289,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,4.1,6.1,8:29,EXT ML,3,N,N,5.97,206.052,01:12,27.227,CMFL,1025,65000,E.R. WELD,24,1433.9,1991.5,1430.7,1987.1,0.715,1.067,1.0,1.2,2022,Metal Loss_146.3,True,146.289,145.532,1,8.483333333333333
90,31.627,0.344,1.65,29.977,146.46,Metal Loss,External,20.0,0.069,35.0,GENE,20.0,,,,1.2,2.0,11:58,EXT ML,3,N,N,5.97,205.985,01:12,7.749,CMFL,1025,65000,E.R. WELD,24,1531.2,2126.7,1527.6,2121.6,0.669,1.142,1.0,1.2,2022,Metal Loss_146.5,True,146.46,145.70300000000003,1,11.966666666666667
90,31.627,0.344,30.574,1.053,175.384,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,5.7,2.9,8:07,EXT ML,3,N,N,5.97,194.421,01:12,31.835,CMFL,1025,65000,E.R. WELD,24,1451.2,2015.6,1432.6,1989.7,0.706,1.081,1.0,1.2,2022,Metal Loss_175.4,True,175.384,174.627,-1,8.116666666666667
