joint_number,joint_length,wall_thickness,dist_upstream_weld,log_distance,elevation,event_type,depth_percent,id_reduction,length,width,burst_mop,clock_position,orientation,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,event_type_normalized,is_reference,clock_decimal,original_index
,,0.344,-1.44,9473.05,780.4636,Metal Loss,10.0,,0.71,0.59,,5:15,Internal,,2007,Metal Loss_9473.0,True,9473.05,9473.43,METAL_LOSS,False,5.25,580
,,0.344,-38.82,10202.72,826.6514,Cluster,13.0,,2.65,3.81,,7:11,External,,2007,Cluster_10202.7,True,10202.72,10203.1,CLUSTER,False,7.183333333333334,602
,,0.344,-8.37,10392.93,824.2547,Metal Loss-Manufacturing Anomaly,17.0,,3.66,0.71,,8:22,,,2007,Metal Loss-Manufacturing Anomaly_10392.9,True,10392.93,10393.31,METAL_LOSS_MFG,False,8.366666666666667,609
,,0.344,-19.7,10404.26,824.1441,Metal Loss-Manufacturing Anomaly,17.0,,3.58,0.63,,2:23,,,2007,Metal Loss-Manufacturing Anomaly_10404.3,True,10404.26,10404.64,METAL_LOSS_MFG,False,2.3833333333333333,610
,,0.344,-20.9,12381.12,870.4641,Metal Loss-Manufacturing Anomaly,20.0,,3.66,2.68,,5:02,,,2007,Metal Loss-Manufacturing Anomaly_12381.1,True,12381.12,12381.5,METAL_LOSS_MFG,False,5.033333333333333,673
,,0.344,-0.76,13393.85,851.3967,Cluster,14.0,,2.52,8.15,,11:48,External,,2007,Cluster_13393.9,True,13393.85,13394.23,CLUSTER,False,11.8,707
,,0.344,-39.71,15957.99,829.9187,Metal Loss,10.0,,0.75,0.83,,3:57,External,,2007,Metal Loss_15958.0,True,15957.99,15958.37,METAL_LOSS,False,3.95,828
,,0.344,-2.36,16000.75,833.4444,Metal Loss-Manufacturing Anomaly,16.0,,0.71,0.59,,7:30,,,2007,Metal Loss-Manufacturing Anomaly_16000.8,True,16000.75,16001.13,METAL_LOSS_MFG,False,7.5,831
,,0.344,-38.78,18175.87,873.1097,Cluster,20.0,,4.97,6.79,1.74,4:24,External,,2007,Cluster_18175.9,True,18175.87,18176.25,CLUSTER,False,4.4,899
,,0.344,-14.48,19910.87,876.2111,Metal Loss,10.0,,0.59,0.71,,6:40,External,,2007,Metal Loss_19910.9,True,19910.87,19911.25,METAL_LOSS,False,6.666666666666667,953
,,0.344,-0.34,20016.6,870.459,Metal Loss,10.0,,0.71,0.67,,4:06,External,,2007,Metal Loss_20016.6,True,20016.6,20016.98,METAL_LOSS,False,4.1,957
,,0.344,-22.6,21304.48,778.7127,Metal Loss-Manufacturing Anomaly,14.0,,0.59,0.59,,3:09,,,2007,Metal Loss-Manufacturing Anomaly_21304.5,True,21304.48,21304.86,METAL_LOSS_MFG,False,3.15,1000
,,0.344,-39.61,21681.38,780.2943,Metal Loss,10.0,,2.24,1.3,,6:40,External,,2007,Metal Loss_21681.4,True,21681.38,21681.76,METAL_LOSS,False,6.666666666666667,1022
,,0.344,-39.05,22483.34,774.7232,Metal Loss,10.0,,2.6,0.71,,6:55,External,,2007,Metal Loss_22483.3,True,22483.34,22483.72,METAL_LOSS,False,6.916666666666667,1049
