joint_number,joint_length,wall_thickness,dist_upstream_weld,dist_downstream_weld,log_distance,event_type,orientation,depth_percent,depth_inches,Metal Loss Depth + Tolerance[%],Dimension Classification,Metal Loss Depth Tolerance [%] (includes seamless and HAZ and modified specs),Dent Depth[%],Dent Depth[in],Is any part of the dent affecting the top of the pipe? [Y/N],length,width,clock_position,comments,Anomalies per Joint,Was anomaly sizing reviewed by analyst? [Y/N],Was anomaly sizing/dimensions manually changed? [Y/N],Magnetization Level [kA/m] for MFL survey or Actual WT [in] for UT Survey,elevation,Seam Position[hh:mm],Distance To Seam Weld [in],Tool,pdesign,smys,Pipe Type,Pipe Diameter (O.D.)[in.],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,Length Tolerance [in],Width Tolerance [in],inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,event_type_normalized,is_reference,clock_decimal,original_index,corrected_distance
75,16.985,0.344,16.05,0.938,128.583,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,2.6,4:39,EXT ML,4,N,N,5.97,212.96,07:36,18.431,CMFL,1025,65000,E.R. WELD,24,1495.2,2076.7,1483.9,2061.0,0.686,1.114,1.0,1.2,2022,Metal Loss_128.6,True,128.583,127.82600000000002,METAL_LOSS,False,4.65,25,127.51457969628125
75,16.985,0.344,16.306,0.682,128.839,Metal Loss,External,30.0,0.103,45.0,GENE,20.0,,,,3.0,4.0,5:59,EXT ML,4,N,N,5.97,212.865,07:36,8.796,CMFL,1025,65000,E.R. WELD,24,1434.8,1992.7,1430.7,1987.1,0.714,1.069,1.0,1.2,2022,Metal Loss_128.8,True,128.839,128.08200000000002,METAL_LOSS,False,5.983333333333333,26,127.76987564271195
80,15.289,0.344,13.852,1.437,143.373,Metal Loss,External,32.0,0.11,47.0,GENE,20.0,,,,3.4,6.9,11:30,EXT ML,4,N,N,5.97,207.202,08:56,18.431,CMFL,1025,65000,E.R. WELD,24,1409.4,1957.5,1428.4,1983.8,0.727,1.049,1.0,1.2,2022,Metal Loss_143.4,True,143.373,142.616,METAL_LOSS,False,11.5,28,142.18512459938518
80,15.289,0.344,14.127,1.161,143.648,Metal Loss,External,25.0,0.086,40.0,CIGR,25.0,,,,0.7,2.2,01:00,EXT ML,4,N,N,5.97,207.094,08:56,25.552,CMFL,1025,65000,E.R. WELD,24,1540.5,2139.5,1538.7,2137.1,0.665,1.148,1.0,1.2,2022,Metal Loss_143.6,True,143.648,142.89100000000002,METAL_LOSS,False,1.0,29,142.4578043037478
80,15.289,0.344,14.134,1.155,143.655,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,3.1,3.1,8:33,EXT ML ( NEAR SW ),4,N,N,5.97,207.091,08:56,2.304,CMFL,1025,65000,E.R. WELD,24,1506.9,2092.9,1498.9,2081.8,0.68,1.123,1.0,1.2,2022,Metal Loss_143.7,True,143.655,142.89800000000002,METAL_LOSS,False,8.55,30,142.46474524167704
80,15.289,0.344,14.154,1.135,143.675,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,2.1,4:30,EXT ML,4,N,N,5.97,207.083,08:56,27.855,CMFL,1025,65000,E.R. WELD,24,1492.8,2073.3,1480.9,2056.8,0.687,1.114,1.0,1.2,2022,Metal Loss_143.7,True,143.675,142.91800000000003,METAL_LOSS,False,4.5,31,142.48457649290341
90,31.627,0.344,1.48,30.148,146.289,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,4.1,6.1,8:29,EXT ML,3,N,N,5.97,206.052,01:12,27.227,CMFL,1025,65000,E.R. WELD,24,1433.9,1991.5,1430.7,1987.1,0.715,1.067,1.0,1.2,2022,Metal Loss_146.3,True,146.289,145.532,METAL_LOSS,False,8.483333333333333,33,145.08633446106174
90,31.627,0.344,1.65,29.977,146.46,Metal Loss,External,20.0,0.069,35.0,GENE,20.0,,,,1.2,2.0,11:58,EXT ML,3,N,N,5.97,205.985,01:12,7.749,CMFL,1025,65000,E.R. WELD,24,1531.2,2126.7,1527.6,2121.6,0.669,1.142,1.0,1.2,2022,Metal Loss_146.5,True,146.46,145.70300000000003,METAL_LOSS,False,11.966666666666667,34,145.2570262750182
90,31.627,0.344,30.574,1.053,175.384,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,5.7,2.9,8:07,EXT ML,3,N,N,5.97,194.421,01:12,31.835,CMFL,1025,65000,E.R. WELD,24,1451.2,2015.6,1432.6,1989.7,0.706,1.081,1.0,1.2,2022,Metal Loss_175.4,True,175.384,174.627,METAL_LOSS,False,8.116666666666667,35,174.12889777721566
120,13.484,0.5,8.579,4.905,265.167,Metal Loss,External,23.0,0.115,38.0,GENE,20.0,,,,2.1,3.4,12:03,EXT ML,1,N,N,4.14,158.751,UNKN,,CMFL,1025,60000,E.R. WELD,24,2051.2,2848.8,2040.3,2833.7,0.5,1.14,1.0,1.2,2022,Metal Loss_265.2,True,265.167,264.40999999999997,METAL_LOSS,False,12.05,40,263.9518903886087
