run1_idx,run2_idx,joint_number,run1_distance,run2_distance,offset
14.0,11.0,30.0,28.38,28.556,0.17600000000000193
17.0,13.0,40.0,39.0,39.344,0.3440000000000012
19.0,15.0,50.0,53.91,54.639,0.7290000000000063
20.0,17.0,60.0,93.8,94.665,0.8650000000000091
22.0,19.0,70.0,103.43,104.432,1.0019999999999953
26.0,27.0,80.0,128.45,129.521,1.070999999999998
27.0,32.0,90.0,143.61,144.81,1.1999999999999886
28.0,36.0,100.0,175.18,176.437,1.257000000000005
29.0,37.0,110.0,215.24,216.539,1.2989999999999782
30.0,38.0,120.0,255.28,256.588,1.3080000000000211
32.0,41.0,130.0,268.91,270.072,1.1619999999999777
33.0,43.0,140.0,308.99,310.207,1.2169999999999845
34.0,44.0,150.0,349.02,350.289,1.2690000000000055
36.0,46.0,160.0,359.15,360.666,1.5160000000000196
37.0,47.0,170.0,376.14,377.671,1.531000000000006
39.0,49.0,180.0,384.27,385.886,1.6160000000000423
40.0,50.0,190.0,407.34,408.904,1.5640000000000214
42.0,52.0,200.0,417.43,419.098,1.6680000000000064
43.0,56.0,210.0,429.59,431.184,1.594000000000051
45.0,60.0,220.0,446.01,447.992,1.9820000000000277
46.0,61.0,230.0,486.01,488.084,2.0740000000000123
47.0,66.0,240.0,526.15,528.284,2.1340000000000146
48.0,77.0,250.0,566.41,568.596,2.1860000000000355
50.0,92.0,260.0,606.45,608.73,2.2799999999999727
52.0,103.0,270.0,637.77,640.072,2.302000000000021
54.0,105.0,280.0,647.4,649.675,2.2749999999999773
56.0,108.0,290.0,655.41,657.956,2.546000000000049
59.0,113.0,300.0,670.49,672.979,2.4890000000000327
61.0,115.0,310.0,678.36,681.214,2.854000000000042
64.0,117.0,320.0,687.11,689.987,2.8769999999999527
65.0,118.0,330.0,697.49,700.266,2.7759999999999536
66.0,120.0,340.0,737.46,740.325,2.865000000000009
68.0,122.0,350.0,748.75,751.785,3.034999999999968
69.0,123.0,360.0,754.75,757.835,3.0850000000000364
70.0,125.0,370.0,785.32,788.563,3.242999999999938
71.0,134.0,380.0,823.17,826.404,3.2340000000000373
72.0,135.0,390.0,863.19,866.627,3.436999999999898
73.0,136.0,400.0,903.23,906.709,3.478999999999928
74.0,138.0,410.0,943.31,946.798,3.4880000000000564
76.0,141.0,420.0,955.78,959.331,3.5510000000000446
79.0,143.0,430.0,985.38,988.99,3.6100000000000136
81.0,145.0,440.0,999.26,1002.749,3.4890000000000327
82.0,147.0,450.0,1039.3,1042.927,3.6269999999999527
84.0,148.0,460.0,1079.26,1082.923,3.663000000000011
85.0,149.0,470.0,1119.24,1123.091,3.8509999999998854
