joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,distance_ft,Height[ft],feature_type,depth_pct,id_reduction_pct,anomaly_length_in,anomaly_width_in,burst_pressure_psi,clock_position,internal_external,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,cluster_id,clock_hours
,,0.344,-21.69,125.12,797.4828,Cluster,16.0,,3.55,2.64,,9:04,NO,,2007,Cluster_125.1,True,125.12,125.50000000000011,0,9.066666666666666
,,0.344,-24.15,127.58,797.199,Cluster,18.0,,2.0,3.44,,5:50,NO,,2007,Cluster_127.6,True,127.58,127.96000000000012,0,5.833333333333333
,,0.344,-39.17,605.58,797.0721,Cluster,10.0,,0.86,2.41,,9:48,NO,,2007,Cluster_605.6,True,605.58,605.9600000000002,-1,9.8
,,0.344,-30.35,636.8,802.0368,Cluster,15.0,,1.85,8.94,,4:38,NO,,2007,Cluster_636.8,True,636.8,637.1800000000001,-1,4.633333333333333
,,0.344,-13.32,668.73,803.305,Cluster,21.0,,4.67,10.14,1.74,1:34,NO,,2007,Cluster_668.7,True,668.73,669.1100000000001,1,1.5666666666666667
,,0.344,-13.41,668.81,803.3067,Metal Loss,40.0,,1.02,0.94,1.85,9:38,NO,,2007,Metal Loss_668.8,True,668.81,669.19,1,9.633333333333333
,,0.344,-0.86,679.22,804.051,Metal Loss,25.0,,2.36,1.3,1.81,8:16,NO,,2007,Metal Loss_679.2,True,679.22,679.6000000000001,2,8.266666666666667
,,0.344,-0.92,679.28,804.058,Metal Loss,15.0,,1.61,5.95,,8:50,NO,,2007,Metal Loss_679.3,True,679.28,679.6600000000001,2,8.833333333333334
,,0.344,-1.56,957.34,820.5215,Cluster,28.0,,3.46,3.33,1.74,4:17,NO,,2007,Cluster_957.3,True,957.34,957.72,3,4.283333333333333
,,0.344,-1.77,957.56,820.5458,Metal Loss,17.0,,1.14,1.14,,3:44,NO,,2007,Metal Loss_957.6,True,957.56,957.94,3,3.7333333333333334
,,0.344,-32.37,1071.67,831.4453,Metal Loss-Manufacturing Anomaly,18.0,,0.67,0.83,,12:19,,,2007,Metal Loss-Manufacturing Anomaly_1071.7,True,1071.67,1072.0500000000002,-1,12.316666666666666
,,0.344,-38.85,1198.08,842.8628,Cluster,13.0,,4.9,1.11,,4:10,YES,,2007,Cluster_1198.1,True,1198.08,1198.46,4,4.166666666666667
,,0.344,-5.26,1204.54,843.5122,Cluster,13.0,,8.21,5.13,,3:56,YES,,2007,Cluster_1204.5,True,1204.54,1204.92,4,3.9333333333333336
,,0.344,-27.45,1226.73,845.7444,Cluster,10.0,,2.05,0.73,,7:51,YES,,2007,Cluster_1226.7,True,1226.73,1227.11,5,7.85
,,0.344,-32.07,1231.34,846.2109,Cluster,10.0,,4.49,4.88,,3:44,YES,,2007,Cluster_1231.3,True,1231.34,1231.72,5,3.7333333333333334
,,0.344,-38.85,1238.12,846.9762,Cluster,10.0,,0.97,1.78,,7:51,YES,,2007,Cluster_1238.1,True,1238.12,1238.5,5,7.85
,,0.344,-0.16,1239.41,847.1265,Cluster,11.0,,0.94,3.88,,3:45,YES,,2007,Cluster_1239.4,True,1239.41,1239.7900000000002,5,3.75
,,0.344,-3.37,1242.62,847.502,Cluster,11.0,,8.17,5.95,,3:31,YES,,2007,Cluster_1242.6,True,1242.62,1243.0,5,3.5166666666666666
,,0.344,-13.67,1252.92,848.7088,Cluster,10.0,,5.48,5.26,,7:41,YES,,2007,Cluster_1252.9,True,1252.92,1253.3000000000002,6,7.683333333333334
,,0.344,-17.53,1256.78,849.1625,Cluster,10.0,,1.02,2.2,,3:35,YES,,2007,Cluster_1256.8,True,1256.78,1257.16,6,3.5833333333333335
,,0.344,-23.45,1262.7,849.8628,Cluster,11.0,,25.08,6.14,,7:45,YES,,2007,Cluster_1262.7,True,1262.7,1263.0800000000002,6,7.75
,,0.344,-25.02,1264.27,850.0493,Metal Loss,10.0,,0.47,0.59,,3:17,YES,,2007,Metal Loss_1264.3,True,1264.27,1264.65,6,3.283333333333333
,,0.344,-26.64,1265.9,850.2413,Cluster,11.0,,7.7,3.98,,3:20,YES,,2007,Cluster_1265.9,True,1265.9,1266.2800000000002,6,3.3333333333333335
,,0.344,-36.54,1275.79,851.4171,Cluster,10.0,,5.03,3.86,,8:16,YES,,2007,Cluster_1275.8,True,1275.79,1276.17,7,8.266666666666667
