run1_idx,run2_idx,joint_number,run1_distance,run2_distance,offset
14.0,10.0,30.0,28.38,28.69,0.3100000000000023
17.0,12.0,40.0,39.0,38.83,-0.1700000000000017
19.0,14.0,50.0,53.91,53.72,-0.18999999999999773
20.0,15.0,60.0,93.8,94.06,0.2600000000000051
22.0,17.0,70.0,103.43,103.33,-0.10000000000000853
26.0,20.0,80.0,128.45,128.88,0.4300000000000068
27.0,21.0,90.0,143.61,144.02,0.4099999999999966
28.0,22.0,100.0,175.18,175.63,0.44999999999998863
29.0,23.0,110.0,215.24,215.7,0.45999999999997954
30.0,24.0,120.0,255.28,255.86,0.5800000000000125
32.0,26.0,130.0,268.91,269.0,0.08999999999997499
33.0,27.0,140.0,308.99,309.49,0.5
34.0,28.0,150.0,349.02,349.65,0.6299999999999955
36.0,30.0,160.0,359.15,359.33,0.18000000000000682
37.0,31.0,170.0,376.14,376.91,0.7700000000000387
39.0,33.0,180.0,384.27,384.52,0.25
40.0,34.0,190.0,407.34,407.86,0.5200000000000387
42.0,36.0,200.0,417.43,417.34,-0.09000000000003183
43.0,37.0,210.0,429.59,429.95,0.36000000000001364
45.0,40.0,220.0,446.01,446.26,0.25
46.0,41.0,230.0,486.01,486.3,0.29000000000002046
47.0,42.0,240.0,526.15,526.15,0.0
48.0,43.0,250.0,566.41,566.12,-0.2899999999999636
50.0,44.0,260.0,606.45,606.11,-0.34000000000003183
52.0,45.0,270.0,637.77,637.51,-0.2599999999999909
54.0,47.0,280.0,647.4,646.78,-0.6200000000000045
56.0,49.0,290.0,655.41,654.88,-0.5299999999999727
59.0,50.0,300.0,670.49,670.33,-0.15999999999996817
61.0,52.0,310.0,678.36,677.99,-0.37000000000000455
64.0,53.0,320.0,687.11,686.92,-0.19000000000005457
65.0,54.0,330.0,697.49,697.29,-0.20000000000004547
66.0,55.0,340.0,737.46,737.27,-0.19000000000005457
68.0,57.0,350.0,748.75,747.95,-0.7999999999999545
69.0,58.0,360.0,754.75,754.23,-0.5199999999999818
70.0,59.0,370.0,785.32,784.79,-0.5300000000000864
71.0,60.0,380.0,823.17,822.65,-0.5199999999999818
72.0,61.0,390.0,863.19,862.71,-0.4800000000000182
73.0,62.0,400.0,903.23,902.75,-0.4800000000000182
74.0,63.0,410.0,943.31,942.9,-0.40999999999996817
76.0,65.0,420.0,955.78,954.76,-1.0199999999999818
79.0,66.0,430.0,985.38,984.83,-0.5499999999999545
81.0,68.0,440.0,999.26,998.04,-1.2200000000000273
82.0,69.0,450.0,1039.3,1038.36,-0.9400000000000546
84.0,70.0,460.0,1079.26,1078.41,-0.849999999999909
85.0,71.0,470.0,1119.24,1118.5,-0.7400000000000091
86.0,72.0,480.0,1159.23,1158.59,-0.6400000000001
88.0,73.0,490.0,1199.28,1198.74,-0.5399999999999636
93.0,74.0,500.0,1239.25,1238.87,-0.38000000000010914
104.0,75.0,510.0,1279.23,1279.0,-0.2300000000000182
110.0,76.0,520.0,1319.26,1319.13,-0.12999999999988177
118.0,77.0,530.0,1359.29,1359.26,-0.029999999999972715
143.0,78.0,540.0,1399.29,1399.33,0.03999999999996362
168.0,79.0,550.0,1439.23,1439.41,0.18000000000006366
181.0,80.0,560.0,1474.28,1474.52,0.2400000000000091
190.0,81.0,570.0,1514.27,1514.6,0.32999999999992724
195.0,82.0,580.0,1554.3,1554.67,0.37000000000011823
205.0,83.0,590.0,1594.3,1594.69,0.39000000000010004
211.0,84.0,600.0,1634.4,1634.65,0.25
216.0,85.0,610.0,1674.51,1674.68,0.17000000000007276
219.0,86.0,620.0,1714.51,1714.66,0.15000000000009095
220.0,87.0,630.0,1754.45,1754.61,0.15999999999985448
222.0,88.0,640.0,1794.43,1794.68,0.25
223.0,89.0,650.0,1821.46,1821.71,0.25
224.0,90.0,660.0,1861.47,1861.75,0.2799999999999727
225.0,91.0,670.0,1901.36,1901.7,0.3400000000001455
226.0,92.0,680.0,1940.19,1940.56,0.36999999999989086
227.0,93.0,690.0,1980.16,1980.62,0.459999999999809
228.0,94.0,700.0,2020.22,2020.72,0.5
229.0,95.0,710.0,2060.32,2060.81,0.4899999999997817
230.0,96.0,720.0,2100.43,2100.91,0.4800000000000182
247.0,97.0,730.0,2140.46,2140.9,0.44000000000005457
259.0,98.0,740.0,2180.5,2180.93,0.4299999999998363
267.0,99.0,750.0,2220.57,2220.99,0.419999999999618
292.0,100.0,760.0,2260.38,2260.83,0.4499999999998181
304.0,101.0,770.0,2300.45,2300.87,0.42000000000007276
