joint_number,joint_length,wall_thickness,dist_upstream_weld,log_distance,elevation,event_type,depth_percent,id_reduction,length,width,burst_mop,clock_position,orientation,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,event_type_normalized,is_reference,clock_decimal,original_index
,,0.344,-0.86,679.22,804.051,Metal Loss,25.0,,2.36,1.3,1.81,8:16,External,,2007,Metal Loss_679.2,True,679.22,679.6000000000001,METAL_LOSS,False,8.266666666666667,62
,,0.344,-32.37,1071.67,831.4453,Metal Loss-Manufacturing Anomaly,18.0,,0.67,0.83,,12:19,,,2007,Metal Loss-Manufacturing Anomaly_1071.7,True,1071.67,1072.0500000000002,METAL_LOSS_MFG,False,12.316666666666666,83
,,0.344,-32.07,1231.34,846.2109,Cluster,10.0,,4.49,4.88,,3:44,Internal,,2007,Cluster_1231.3,True,1231.34,1231.72,CLUSTER,False,3.7333333333333334,91
,,0.344,-3.37,1242.62,847.502,Cluster,11.0,,8.17,5.95,,3:31,Internal,,2007,Cluster_1242.6,True,1242.62,1243.0,CLUSTER,False,3.5166666666666666,95
,,0.344,-13.67,1252.92,848.7088,Cluster,10.0,,5.48,5.26,,7:41,Internal,,2007,Cluster_1252.9,True,1252.92,1253.3000000000002,CLUSTER,False,7.683333333333334,96
,,0.344,-17.53,1256.78,849.1625,Cluster,10.0,,1.02,2.2,,3:35,Internal,,2007,Cluster_1256.8,True,1256.78,1257.16,CLUSTER,False,3.5833333333333335,97
,,0.344,-23.45,1262.7,849.8628,Cluster,11.0,,25.08,6.14,,7:45,Internal,,2007,Cluster_1262.7,True,1262.7,1263.0800000000002,CLUSTER,False,7.75,98
,,0.344,-25.02,1264.27,850.0493,Metal Loss,10.0,,0.47,0.59,,3:17,Internal,,2007,Metal Loss_1264.3,True,1264.27,1264.65,METAL_LOSS,False,3.283333333333333,99
,,0.344,-26.64,1265.9,850.2413,Cluster,11.0,,7.7,3.98,,3:20,Internal,,2007,Cluster_1265.9,True,1265.9,1266.2800000000002,CLUSTER,False,3.3333333333333335,100
,,0.344,-36.54,1275.79,851.4171,Cluster,10.0,,5.03,3.86,,8:16,Internal,,2007,Cluster_1275.8,True,1275.79,1276.17,CLUSTER,False,8.266666666666667,101
,,0.344,-37.65,1276.9,851.5489,Cluster,11.0,,9.19,5.01,,7:59,Internal,,2007,Cluster_1276.9,True,1276.9,1277.2800000000002,CLUSTER,False,7.983333333333333,102
,,0.344,-39.55,1278.81,851.7731,Cluster,10.0,,5.35,9.59,,7:46,Internal,,2007,Cluster_1278.8,True,1278.81,1279.19,CLUSTER,False,7.766666666666667,103
,,0.344,-5.12,1284.35,852.4263,Cluster,11.0,,2.45,7.96,,2:38,Internal,,2007,Cluster_1284.3,True,1284.35,1284.73,CLUSTER,False,2.6333333333333333,105
,,0.344,-17.29,1296.52,853.8535,Cluster,10.0,,1.68,5.01,,8:41,Internal,,2007,Cluster_1296.5,True,1296.52,1296.9,CLUSTER,False,8.683333333333334,106
,,0.344,-17.74,1296.97,853.9065,Cluster,10.0,,2.5,3.56,,2:45,Internal,,2007,Cluster_1297.0,True,1296.97,1297.35,CLUSTER,False,2.75,107
,,0.344,-20.56,1299.79,854.2387,Cluster,10.0,,5.15,4.65,,8:33,Internal,,2007,Cluster_1299.8,True,1299.79,1300.17,CLUSTER,False,8.55,108
,,0.344,-23.44,1302.67,854.5774,Metal Loss,12.0,,0.55,0.55,,1:57,Internal,,2007,Metal Loss_1302.7,True,1302.67,1303.0500000000002,METAL_LOSS,False,1.95,109
,,0.344,-3.65,1322.91,856.9639,Cluster,10.0,,1.82,2.26,,9:33,Internal,,2007,Cluster_1322.9,True,1322.91,1323.2900000000002,CLUSTER,False,9.55,111
,,0.344,-11.21,1330.47,857.8544,Cluster,10.0,,9.49,7.52,,8:40,Internal,,2007,Cluster_1330.5,True,1330.47,1330.85,CLUSTER,False,8.666666666666666,112
,,0.344,-21.77,1341.04,859.1039,Cluster,10.0,,27.71,19.52,,12:49,Internal,,2007,Cluster_1341.0,True,1341.04,1341.42,CLUSTER,False,12.816666666666666,113
,,0.344,-22.93,1342.19,859.2408,Metal Loss,10.0,,0.59,0.71,,12:24,Internal,,2007,Metal Loss_1342.2,True,1342.19,1342.5700000000002,METAL_LOSS,False,12.4,114
,,0.344,-29.41,1348.67,860.0116,Metal Loss,10.0,,0.55,0.71,,12:26,Internal,,2007,Metal Loss_1348.7,True,1348.67,1349.0500000000002,METAL_LOSS,False,12.433333333333334,115
,,0.344,-30.73,1349.99,860.1694,Cluster,11.0,,1.61,3.9,,1:40,Internal,,2007,Cluster_1350.0,True,1349.99,1350.37,CLUSTER,False,1.6666666666666665,116
,,0.344,-39.98,1359.24,861.2799,Cluster,13.0,,7.85,12.23,,8:48,Internal,,2007,Cluster_1359.2,True,1359.24,1359.62,CLUSTER,False,8.8,117
,,0.344,-4.19,1363.47,861.7895,Cluster,10.0,,3.68,17.3,,12:59,Internal,,2007,Cluster_1363.5,True,1363.47,1363.85,CLUSTER,False,12.983333333333333,119
