Joint num,Joint len [ft],t [in],to u/s w. [ft],log dist. [ft],Height [ft],event,depth [%],ID Reduction [%],length [in],width [in],P2 Burst / MOP,o'clock,internal,comment
,,0.449,,-27.82,803.6748,Area Start Launcher,,,,,,,,
,,,,-19.48,803.6644,Support,,,,,,6:00,,
,,,,-15.78,803.6598,Support,,,,,,6:00,,
,,,,-12.21,803.6553,Tap,,,,,,6:00,,
,,,,-6.49,803.6481,Support,,,,,,,,Strap
10,26.46,0.5,,-5.3,803.6466,Flange,,,,,,,,
,,,,-1.38,803.6417,Tap,,,,,,9:00,,
,,,,0,803.64,Valve,,,,,,,,
,,,,1.41,803.6382,Tap,,,,,,9:00,,
,,,,8.08,803.6299,Tee,,,,,,9:00,,
,,,,11.21,803.4864,Tap,,,,,,12:00,,
,,,,15.36,802.9064,Bend,,,,,,,,5.1D - 32° - Over
20,7.23,0.344,,21.15,801.7901,Area End Launcher,,,,,,,,"0.344"""
,,,,21.57,801.71,Magnet,,,,,,12:00,,ROSEN
30,10.62,0.5,,28.38,800.413,Girth Weld,,,,,,,,"0.500"""
,,,,29.8,800.2077,Above Ground Marker,,,,,,,,Launcher
,,,,33.82,799.8962,Bend,,,,,,,,6.1D - 42° - Sag
40,14.91,0.5,,39,799.8944,Girth Weld,,,,,,,,
,,,,46.17,799.9008,Bend,,,,,,,,5.8D - 45° - Right
50,39.89,0.344,,53.91,799.9028,Girth Weld,,,,,,,,"0.344"""
60,9.64,0.5,,93.8,799.8784,Girth Weld,,,,,,,,"0.500"""
,,,,98.5,799.8591,Bend,,,,,,,,5.0D - 23° - Left
70,25.02,0.344,,103.43,799.8257,Girth Weld,,,,,,,,"0.344"""
,,,,107.46,799.493,Bend,,,,,,,,5.2D - 22° - Over
,,0.344,-21.69,125.12,797.4828,Cluster,16,,3.55,2.64,,9:04,NO,
,,0.344,-24.15,127.58,797.199,Cluster,18,,2,3.44,,5:50,NO,
80,15.16,0.344,,128.45,797.0989,Girth Weld,,,,,,,,
90,31.57,0.344,,143.61,795.3491,Girth Weld,,,,,,,,
100,40.06,0.344,,175.18,791.6757,Girth Weld,,,,,,,,
110,40.04,0.344,,215.24,787.0014,Girth Weld,,,,,,,,
120,13.63,0.5,,255.28,782.303,Girth Weld,,,,,,,,"0.500"""
,,,,262.31,781.775,Bend,,,,,,,,5.2D - 42° - Left
130,40.08,0.344,,268.91,781.7673,Girth Weld,,,,,,,,"0.344"""
140,40.03,0.344,,308.99,781.9334,Girth Weld,,,,,,,,
150,10.13,0.5,,349.02,781.8892,Girth Weld,,,,,,,,"0.500"""
,,,,354.08,781.6514,Bend,,,,,,,,5.1D - 28° - Right
160,16.99,0.344,,359.15,781.1295,Girth Weld,,,,,,,,"0.344"""
170,8.13,0.5,,376.14,779.2908,Girth Weld,,,,,,,,"0.500"""
,,,,379.98,779.0196,Bend,,,,,,,,5.7D - 18° - Sag
180,23.07,0.344,,384.27,779.0088,Girth Weld,,,,,,,,"0.344"""
190,10.09,0.5,,407.34,779.0063,Girth Weld,,,,,,,,"0.500"""
,,,,412.26,779.2817,Bend,,,,,,,,5.3D - 25° - Sag
200,12.15,0.344,,417.43,780.0987,Girth Weld,,,,,,,,"0.344"""
210,16.42,0.5,,429.59,782.1364,Girth Weld,,,,,,,,"0.500"""
,,,,434.06,782.6746,Bend,,,,,,,,5.4D - 33° - Over
220,40,0.344,,446.01,783.0711,Girth Weld,,,,,,,,"0.344"""
230,40.14,0.344,,486.01,783.967,Girth Weld,,,,,,,,
240,40.27,0.344,,526.15,786.286,Girth Weld,,,,,,,,
250,40.04,0.344,,566.41,790.952,Girth Weld,,,,,,,,
,,0.344,-39.17,605.58,797.0721,Cluster,10,,0.86,2.41,,9:48,NO,
260,31.32,0.344,,606.45,797.2095,Girth Weld,,,,,,,,
,,0.344,-30.35,636.8,802.0368,Cluster,15,,1.85,8.94,,4:38,NO,
270,9.63,0.5,,637.77,802.1902,Girth Weld,,,,,,,,"0.500"""
,,,,642.57,802.7909,Bend,,,,,,,,5.0D - 25° - Over
280,8.01,0.5,,647.4,802.9092,Girth Weld,,,,,,,,
,,,,651.09,802.9466,Bend,,,,,,,,6.0D - 19° - Left
290,15.08,0.344,,655.41,803.0308,Girth Weld,,,,,,,,"0.344"""
,,0.344,-13.32,668.73,803.305,Cluster,21,,4.67,10.14,1.74,1:34,NO,
,,0.344,-13.41,668.81,803.3067,metal loss,40,,1.02,0.94,1.85,9:38,NO,
300,7.87,0.5,,670.49,803.3409,Girth Weld,,,,,,,,"0.500"""
,,,,674.53,803.4976,Bend,,,,,,,,6.6D - 18° - Sag
310,8.75,0.344,,678.36,803.9424,Girth Weld,,,,,,,,"0.344"""
,,0.344,-0.86,679.22,804.051,metal loss,25,,2.36,1.3,1.81,8:16,NO,
,,0.344,-0.92,679.28,804.058,metal loss,15,,1.61,5.95,,8:50,NO,
320,10.37,0.344,,687.11,805.0548,Girth Weld,,,,,,,,
330,39.97,0.344,,697.49,806.3648,Girth Weld,,,,,,,,
340,11.29,0.5,,737.46,811.3765,Girth Weld,,,,,,,,"0.500"""
,,,,743.36,812.0506,Bend,,,,,,,,5.3D - 31° - Left
350,6,0.344,,748.75,812.4028,Girth Weld,,,,,,,,"0.344"""
360,30.57,0.344,,754.75,812.7252,Girth Weld,,,,,,,,
370,37.86,0.344,,785.32,814.0967,Girth Weld,,,,,,,,
380,40.01,0.344,,823.17,815.3422,Girth Weld,,,,,,,,
390,40.04,0.344,,863.19,816.5633,Girth Weld,,,,,,,,
400,40.08,0.344,,903.23,817.9138,Girth Weld,,,,,,,,
410,12.47,0.5,,943.31,819.4339,Girth Weld,,,,,,,,"0.500"""
,,,,949.2,819.7213,Bend,,,,,,,,7.1D - 33° - Right
420,29.6,0.344,,955.78,820.3454,Girth Weld,,,,,,,,"0.344"""
,,0.344,-1.56,957.34,820.5215,Cluster,28,,3.46,3.33,1.74,4:17,NO,
,,0.344,-1.77,957.56,820.5458,metal loss,17,,1.14,1.14,,3:44,NO,
430,13.88,0.5,,985.38,823.7079,Girth Weld,,,,,,,,"0.500"""
,,,,992.14,824.4797,Bend,,,,,,,,6.2D - 38° - Right
440,40.04,0.344,,999.26,825.2617,Girth Weld,,,,,,,,"0.344"""
450,39.96,0.344,,1039.3,828.7596,Girth Weld,,,,,,,,
,,0.344,-32.37,1071.67,831.4453,metal loss-manufacturing anomaly,18,,0.67,0.83,,12:19,N/A,
460,39.98,0.344,,1079.26,832.0774,Girth Weld,,,,,,,,
470,39.99,0.344,,1119.24,835.498,Girth Weld,,,,,,,,
480,40.04,0.344,,1159.23,839.1296,Girth Weld,,,,,,,,
,,0.344,-38.85,1198.08,842.8628,Cluster,13,,4.9,1.11,,4:10,YES,
490,39.97,0.344,,1199.28,842.9833,Girth Weld,,,,,,,,
,,0.344,-5.26,1204.54,843.5122,Cluster,13,,8.21,5.13,,3:56,YES,
,,0.344,-27.45,1226.73,845.7444,Cluster,10,,2.05,0.73,,7:51,YES,
,,0.344,-32.07,1231.34,846.2109,Cluster,10,,4.49,4.88,,3:44,YES,
,,0.344,-38.85,1238.12,846.9762,Cluster,10,,0.97,1.78,,7:51,YES,
500,39.98,0.344,,1239.25,847.1082,Girth Weld,,,,,,,,
,,0.344,-0.16,1239.41,847.1265,Cluster,11,,0.94,3.88,,3:45,YES,
,,0.344,-3.37,1242.62,847.502,Cluster,11,,8.17,5.95,,3:31,YES,
