Joint num,Joint len,Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR
,,,,,-14.6,Area Start Launcher,,,,,,,,,,,,233.7,,,,,,,,,,,,,,,
,,,,,-1.39,Tap,,,,,,,,9:00,,,,233.5,,,,,,,,,,,,,,,
,,,,,0,Valve,,,,,,,,,,,,233.47,,,,,,,,,,,,,,,
,,,,,1.4,Tap,,,,,,,,9:00,,,,233.45,,,,,,,,,,,,,,,
,,,,,8.16,Tee,,,,,,,,9:00,,,,233.29,,,,,,,,,,,,,,,
,,,,,11.12,Tap,,,,,,,,12:00,,,,233.22,,,,,,,,,,,,,,,
,,,,,15.13,Bend,,,,,,,,,6.2D -  31° - Over,,,232.5,,,,,,,,,,,,,,,
,,,,,19.09,Magnet,,,,,,,,12:00,ROSEN,,,230.46,,,,,,,,,,,,,,,
0.01,7.7,0.344,,,20.99,Area End Launch Trap,,,,,,,,,,,0.7,229.22,,,,1160,65000,,1342,,,,,,,,
0.01,,,,,26.53,AGM,,,,,,,,,"LAUNCHER VALVE 22'6"" D/S OF DOOR",,,225.52,,,,,,,,,,,,,,,
30,10.14,0.5,,,28.69,GirthWeld,,,,,,,,,,,0.7,224.08,,,,1160,60000,,1800,,,,,,,,
30,,,,,34.13,Bend,,,,,,,,,5.5D -  42° - Sag,,,221.04,,,,,,,,,,,,,,,
40,14.89,0.5,,,38.83,GirthWeld,,,,,,,,,,,0.7,220.32,,,,1160,60000,,1800,,,,,,,,
40,,,,,46.35,Bend,,,,,,,,,5.7D -  53° - Right,,,220.25,,,,,,,,,,,,,,,
50,40.34,0.344,,,53.72,GirthWeld,,,,,,,,,,,0.7,220.11,,,,1160,65000,,1342,,,,,,,,
60,9.27,0.5,,,94.06,GirthWeld,,,,,,,,,,,0.7,219.03,,,,1160,60000,,1800,,,,,,,,
60,,,,,98.98,Bend,,,,,,,,,5.7D -  23° - Left,,,218.88,,,,,,,,,,,,,,,
70,8.19,0.5,,,103.33,GirthWeld,,,,,,,,,,,0.7,218.74,,,,1160,60000,,1800,,,,,,,,
70,,,,,107.6,Bend,,,,,,,,,5.2D -  18° - Over,,,218.56,,,,,,,,,,,,,,,
70.01,17.36,0.344,,,111.52,GirthWeld,,,,,,,,,,,0.7,218.01,,,,1160,65000,,1342,,,,,,,,
80,15.14,0.344,,,128.88,GirthWeld,,,,,,,,,,,0.7,211.68,,,,1160,65000,,1342,,,,,,,,
90,31.6,0.344,,,144.02,GirthWeld,,,,,,,,,,,0.7,205.65,,,,1160,65000,,1342,,,,,,,,
100,40.08,0.344,,,175.63,GirthWeld,,,,,,,,,,,0.7,193,,,,1160,65000,,1342,,,,,,,,
110,40.16,0.344,,,215.7,GirthWeld,,,,,,,,,,,0.7,176.75,,,,1160,65000,,1342,,,,,,,,
120,13.14,0.5,,,255.86,GirthWeld,,,,,,,,,,,0.7,160.33,,,,1160,60000,,1800,,,,,,,,
120,,,,,262.71,Bend,,,,,,,,,6.3D -  37° - Left,,,157.57,,,,,,,,,,,,,,,
130,40.49,0.344,,,269,GirthWeld,,,,,,,,,,,0.7,156.83,,,,1160,65000,,1342,,,,,,,,
140,40.16,0.344,,,309.49,GirthWeld,,,,,,,,,,,0.7,152.92,,,,1160,65000,,1342,,,,,,,,
150,9.68,0.5,,,349.65,GirthWeld,,,,,,,,,,,0.7,155.83,,,,1160,60000,,1800,,,,,,,,
150,,,,,354.84,Bend,,,,,,,,,5.7D -  26° - Right,,,156.07,,,,,,,,,,,,,,,
160,17.58,0.344,,,359.33,GirthWeld,,,,,,,,,,,0.7,156.23,,,,1160,65000,,1342,,,,,,,,
170,7.61,0.5,,,376.91,GirthWeld,,,,,,,,,,,0.7,157.27,,,,1160,60000,,1800,,,,,,,,
170,,,,,381.04,Bend,,,,,,,,,6.0D -  18° - Sag,,,157.85,,,,,,,,,,,,,,,
180,23.34,0.344,,,384.52,GirthWeld,,,,,,,,,,,0.7,158.5,,,,1160,65000,,1342,,,,,,,,
190,9.48,0.5,,,407.86,GirthWeld,,,,,,,,,,,0.7,164.67,,,,1160,60000,,1800,,,,,,,,
190,,,,,413.15,Bend,,,,,,,,,5.8D -  25° - Sag,,,166.59,,,,,,,,,,,,,,,
200,12.61,0.344,,,417.34,GirthWeld,,,,,,,,,,,0.7,168.31,,,,1160,65000,,1342,,,,,,,,
210,8.8,0.5,,,429.95,GirthWeld,,,,,,,,,,,0.7,174.49,,,,1160,60000,,1800,,,,,,,,
210,,,,,434.43,Bend,,,,,,,,,5.2D -  25° - Over,,,175.44,,,,,,,,,,,,,,,
210.01,7.51,0.344,,,438.75,GirthWeld,,,,,,,,,,,0.7,175.62,,,,1160,65000,,1342,,,,,,,,
220,40.04,0.344,,,446.26,GirthWeld,,,,,,,,,,,0.7,178.3,,,,1160,65000,,1342,,,,,,,,
230,39.85,0.344,,,486.3,GirthWeld,,,,,,,,,,,0.7,187.27,,,,1160,65000,,1342,,,,,,,,
240,39.97,0.344,,,526.15,GirthWeld,,,,,,,,,,,0.7,190.39,,,,1160,65000,,1342,,,,,,,,
250,39.99,0.344,,,566.12,GirthWeld,,,,,,,,,,,0.7,193.62,,,,1160,65000,,1342,,,,,,,,
260,31.41,0.344,,,606.11,GirthWeld,,,,,,,,,,,0.7,196.65,,,,1160,65000,,1342,,,,,,,,
270,9.27,0.5,,,637.51,GirthWeld,,,,,,,,,,,0.7,198.77,,,,1160,60000,,1800,,,,,,,,
270,,,,,642.47,Bend,,,,,,,,,5.5D -  24° - Over,,,199.1,,,,,,,,,,,,,,,
280,8.1,0.5,,,646.78,GirthWeld,,,,,,,,,,,0.7,199.39,,,,1160,60000,,1800,,,,,,,,
280,,,,,651.2,Bend,,,,,,,,,5.9D -  18° - Left,,,199.69,,,,,,,,,,,,,,,
290,15.46,0.344,,,654.88,GirthWeld,,,,,,,,,,,0.7,199.94,,,,1160,65000,,1342,,,,,,,,
300,7.65,0.5,,,670.33,GirthWeld,,,,,,,,,,,0.7,201,,,,1160,60000,,1800,,,,,,,,
300,,,,,674.44,Bend,,,,,,,,,5.6D -  20° - Sag,,,201.29,,,,,,,,,,,,,,,
310,8.94,0.344,,,677.99,GirthWeld,,,,,,,,,,,0.7,201.54,,,,1160,65000,,1342,,,,,,,,
320,10.36,0.344,,,686.92,GirthWeld,,,,,,,,,,,0.7,202.2,,,,1160,65000,,1342,,,,,,,,
330,39.98,0.344,,,697.29,GirthWeld,,,,,,,,,,,0.7,203,,,,1160,65000,,1342,,,,,,,,
340,10.68,0.5,,,737.27,GirthWeld,,,,,,,,,,,0.7,206.23,,,,1160,60000,,1800,,,,,,,,
340,,,,,742.69,Bend,,,,,,,,,5.8D -  28° - Left,,,206.68,,,,,,,,,,,,,,,
350,6.28,0.344,,,747.95,GirthWeld,,,,,,,,,,,0.7,207.12,,,,1160,65000,,1342,,,,,,,,
360,30.55,0.344,,,754.23,GirthWeld,,,,,,,,,,,0.7,207.65,,,,1160,65000,,1342,,,,,,,,
370,37.86,0.344,,,784.79,GirthWeld,,,,,,,,,,,0.7,210.25,,,,1160,65000,,1342,,,,,,,,
380,40.06,0.344,,,822.65,GirthWeld,,,,,,,,,,,0.7,213.94,,,,1160,65000,,1342,,,,,,,,
390,40.04,0.344,,,862.71,GirthWeld,,,,,,,,,,,0.7,225.41,,,,1160,65000,,1342,,,,,,,,
400,40.15,0.344,,,902.75,GirthWeld,,,,,,,,,,,0.7,237.79,,,,1160,65000,,1342,,,,,,,,
410,11.86,0.5,,,942.9,GirthWeld,,,,,,,,,,,0.7,247.8,,,,1160,60000,,1800,,,,,,,,
410,,,,,949.14,Bend,,,,,,,,,5.9D -  33° - Right,,,249.36,,,,,,,,,,,,,,,
420,30.08,0.344,,,954.76,GirthWeld,,,,,,,,,,,0.7,250.77,,,,1160,65000,,1342,,,,,,,,
430,13.2,0.5,,,984.83,GirthWeld,,,,,,,,,,,0.7,258.59,,,,1160,60000,,1800,,,,,,,,
430,,,,,991.56,Bend,,,,,,,,,6.1D -  37° - Right,,,260.42,,,,,,,,,,,,,,,
440,40.32,0.344,,,998.04,GirthWeld,,,,,,,,,,,0.7,262.18,,,,1160,65000,,1342,,,,,,,,
450,40.05,0.344,,,1038.36,GirthWeld,,,,,,,,,,,0.7,273.12,,,,1160,65000,,1342,,,,,,,,
460,40.09,0.344,,,1078.41,GirthWeld,,,,,,,,,,,0.7,284.09,,,,1160,65000,,1342,,,,,,,,
470,40.09,0.344,,,1118.5,GirthWeld,,,,,,,,,,,0.7,295.19,,,,1160,65000,,1342,,,,,,,,
480,40.14,0.344,,,1158.59,GirthWeld,,,,,,,,,,,0.7,306.46,,,,1160,65000,,1342,,,,,,,,
490,40.13,0.344,,,1198.74,GirthWeld,,,,,,,,,,,0.7,318.68,,,,1160,65000,,1342,,,,,,,,
500,40.13,0.344,,,1238.87,GirthWeld,,,,,,,,,,,0.7,330.91,,,,1160,65000,,1342,,,,,,,,
510,40.13,0.344,,,1279,GirthWeld,,,,,,,,,,,0.7,343.6,,,,1160,65000,,1342,,,,,,,,
520,40.13,0.344,,,1319.13,GirthWeld,,,,,,,,,,,0.7,358.13,,,,1160,65000,,1342,,,,,,,,
530,40.07,0.344,,,1359.26,GirthWeld,,,,,,,,,,,0.7,372.83,,,,1160,65000,,1342,,,,,,,,
540,40.08,0.344,,,1399.33,GirthWeld,,,,,,,,,,,0.7,387.41,,,,1160,65000,,1342,,,,,,,,
550,35.11,0.344,,,1439.41,GirthWeld,,,,,,,,,,,0.7,402.08,,,,1160,65000,,1342,,,,,,,,
560,40.08,0.344,,,1474.52,GirthWeld,,,,,,,,,,,0.7,414.89,,,,1160,65000,,1342,,,,,,,,
570,40.07,0.344,,,1514.6,GirthWeld,,,,,,,,,,,0.7,429.58,,,,1160,65000,,1342,,,,,,,,
580,40.01,0.344,,,1554.67,GirthWeld,,,,,,,,,,,0.7,444.49,,,,1160,65000,,1342,,,,,,,,
590,39.97,0.344,,,1594.69,GirthWeld,,,,,,,,,,,0.7,459.42,,,,1160,65000,,1342,,,,,,,,
600,40.02,0.344,,,1634.65,GirthWeld,,,,,,,,,,,0.7,473.32,,,,1160,65000,,1342,,,,,,,,
610,39.99,0.344,,,1674.68,GirthWeld,,,,,,,,,,,0.7,486.96,,,,1160,65000,,1342,,,,,,,,
620,39.95,0.344,,,1714.66,GirthWeld,,,,,,,,,,,0.7,500.45,,,,1160,65000,,1342,,,,,,,,
630,40.06,0.344,,,1754.61,GirthWeld,,,,,,,,,,,0.7,513.7,,,,1160,65000,,1342,,,,,,,,
640,27.03,0.344,,,1794.68,GirthWeld,,,,,,,,,,,0.7,526.68,,,,1160,65000,,1342,,,,,,,,
650,40.04,0.344,,,1821.71,GirthWeld,,,,,,,,,,,0.7,535.38,,,,1160,65000,,1342,,,,,,,,
660,39.95,0.344,,,1861.75,GirthWeld,,,,,,,,,,,0.7,548.18,,,,1160,65000,,1342,,,,,,,,
670,38.86,0.344,,,1901.7,GirthWeld,,,,,,,,,,,0.7,560.99,,,,1160,65000,,1342,,,,,,,,
