joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,dist_to_downstream_gw_ft,distance_ft,feature_type,internal_external,depth_pct,depth_in,Metal Loss Depth + Tolerance[%],Dimension Classification,Metal Loss Depth Tolerance [%] (includes seamless and HAZ and modified specs),Dent Depth[%],Dent Depth[in],Is any part of the dent affecting the top of the pipe? [Y/N],anomaly_length_in,anomaly_width_in,clock_position,comments,Anomalies per Joint,Was anomaly sizing reviewed by analyst? [Y/N],Was anomaly sizing/dimensions manually changed? [Y/N],Magnetization Level [kA/m] for MFL survey or Actual WT [in] for UT Survey,elevation_ft,Seam Position[hh:mm],Distance To Seam Weld [in],Tool,design_pressure_psi,smys_psi,Pipe Type,Pipe Diameter (O.D.)[in.],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,Length Tolerance [in],Width Tolerance [in],inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned
5,4.528,0.344,,,-2.5,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD - ERW START,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_-2.5,False,-2.5,-3.2569999999999837
5,4.528,0.344,,,-1.565,Tap,,,,,,,,,,,,09:00,1.5 IN OFFTAKE-WELDOLET,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Tap_-1.6,False,-1.565,-2.3219999999999836
5,4.528,0.344,,,-0.003,Valve,,,,,,,,,,,,nan,MOV-0109C LAUNCHER,0,,,5.97,233.47,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Valve_-0.0,False,-0.003,-0.7599999999999837
5,4.528,0.344,,,1.243,Tap,,,,,,,,,,,,09:00,1.5 IN OFFTAKE-WELDOLET,0,,,5.97,233.45,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Tap_1.2,False,1.243,0.4860000000000164
15,4.551,0.344,,,2.028,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_2.0,False,2.028,1.2710000000000163
17,2.887,0.344,,,6.575,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_6.6,False,6.575,5.8180000000000165
17,2.887,0.344,,,8.081,Tee,,,,,,,,,,,,09:00,24 IN OFFTAKE-FORGED-TEE,0,,,5.97,233.29,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Tee_8.1,False,8.081,7.324000000000016
18,11.778,0.5,,,9.462,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,,08:28,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_9.5,False,9.462,8.705000000000016
18,11.778,0.5,,,10.968,Tap,,,,,,,,,,,,12:00,3 IN OFFTAKE-WELDOLET,0,,,4.14,233.22,08:28,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Tap_11.0,False,10.968,10.211000000000016
18,11.778,0.5,,,15.351,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 6.2D - 31Â° OVER,0,,,4.14,232.5,08:28,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_15.4,False,15.351,14.594000000000017
28,7.316,0.344,,,21.24,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,,09:24,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_21.2,False,21.24,20.483000000000015
30,10.784,0.5,,,28.556,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,,08:24,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_28.6,False,28.556,27.799000000000017
30,10.784,0.5,,,33.747,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 5.5D - 42Â° UNDER,0,,,4.14,223.142,08:24,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_33.7,False,33.747,32.990000000000016
40,15.299,0.5,,,39.344,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,4.14,221.191,12:20,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_39.3,False,39.344,38.58700000000002
40,15.299,0.5,,,46.552,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 5.7D - 53Â° RIGHT,0,,,4.14,220.255,12:20,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_46.6,False,46.552,45.795000000000016
50,40.026,0.344,,,54.639,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,220.144,10:52,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_54.6,False,54.639,53.88200000000002
50,40.026,0.344,,,93.369,Attachment,,,,,,,,,,,,05:00,ATTACHMENT,0,,,5.97,219.132,10:52,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Attachment_93.4,False,93.369,92.61200000000002
60,9.767,0.5,,,94.665,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,219.097,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_94.7,False,94.665,93.90800000000002
60,9.767,0.5,,,99.396,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 5.7D - 23Â° LEFT,0,,,4.14,218.964,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_99.4,False,99.396,98.63900000000001
70,8.104,0.5,,,104.432,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,4.14,218.814,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_104.4,False,104.432,103.67500000000001
70,8.104,0.5,,,108.353,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 5.2D - 18Â° OVER,0,,,4.14,218.612,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_108.4,False,108.353,107.596
75,16.985,0.344,,,112.536,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,4,,,5.97,218.235,07:36,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_112.5,False,112.536,111.77900000000002
75,16.985,0.344,,,114.291,Attachment,,,,,,,,,,,,06:00,ATTACHMENT,4,,,5.97,218.077,07:36,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Attachment_114.3,False,114.291,113.53400000000002
75,16.985,0.344,13.366,3.619,125.902,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,3.4,1.8,5:42,EXT ML,4,N,N,5.97,213.96,07:36,11.938,CMFL,1025,65000,E.R. WELD,24,1480.5,2056.2,1468.3,2039.3,0.692,1.104,1.0,1.2,2022,Metal Loss_125.9,True,125.902,125.14500000000001
75,16.985,0.344,13.842,3.143,126.378,Metal Loss,External,29.0,0.1,44.0,GENE,20.0,,,,7.0,6.1,9:03,EXT ML,4,N,N,5.97,213.782,07:36,9.215,CMFL,1025,65000,E.R. WELD,24,1317.3,1829.6,1380.6,1917.5,0.778,0.983,1.0,1.2,2022,Metal Loss_126.4,True,126.378,125.62100000000001
75,16.985,0.344,16.05,0.938,128.583,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,2.6,4:39,EXT ML,4,N,N,5.97,212.96,07:36,18.431,CMFL,1025,65000,E.R. WELD,24,1495.2,2076.7,1483.9,2061.0,0.686,1.114,1.0,1.2,2022,Metal Loss_128.6,True,128.583,127.82600000000002
75,16.985,0.344,16.306,0.682,128.839,Metal Loss,External,30.0,0.103,45.0,GENE,20.0,,,,3.0,4.0,5:59,EXT ML,4,N,N,5.97,212.865,07:36,8.796,CMFL,1025,65000,E.R. WELD,24,1434.8,1992.7,1430.7,1987.1,0.714,1.069,1.0,1.2,2022,Metal Loss_128.8,True,128.839,128.08200000000002
80,15.289,0.344,,,129.521,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,4,,,5.97,212.611,08:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_129.5,False,129.521,128.764
80,15.289,0.344,13.852,1.437,143.373,Metal Loss,External,32.0,0.11,47.0,GENE,20.0,,,,3.4,6.9,11:30,EXT ML,4,N,N,5.97,207.202,08:56,18.431,CMFL,1025,65000,E.R. WELD,24,1409.4,1957.5,1428.4,1983.8,0.727,1.049,1.0,1.2,2022,Metal Loss_143.4,True,143.373,142.616
80,15.289,0.344,14.127,1.161,143.648,Metal Loss,External,25.0,0.086,40.0,CIGR,25.0,,,,0.7,2.2,01:00,EXT ML,4,N,N,5.97,207.094,08:56,25.552,CMFL,1025,65000,E.R. WELD,24,1540.5,2139.5,1538.7,2137.1,0.665,1.148,1.0,1.2,2022,Metal Loss_143.6,True,143.648,142.89100000000002
80,15.289,0.344,14.134,1.155,143.655,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,3.1,3.1,8:33,EXT ML ( NEAR SW ),4,N,N,5.97,207.091,08:56,2.304,CMFL,1025,65000,E.R. WELD,24,1506.9,2092.9,1498.9,2081.8,0.68,1.123,1.0,1.2,2022,Metal Loss_143.7,True,143.655,142.89800000000002
80,15.289,0.344,14.154,1.135,143.675,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,2.1,4:30,EXT ML,4,N,N,5.97,207.083,08:56,27.855,CMFL,1025,65000,E.R. WELD,24,1492.8,2073.3,1480.9,2056.8,0.687,1.114,1.0,1.2,2022,Metal Loss_143.7,True,143.675,142.91800000000003
90,31.627,0.344,,,144.81,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,3,,,5.97,206.636,01:12,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_144.8,False,144.81,144.05300000000003
90,31.627,0.344,1.48,30.148,146.289,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,4.1,6.1,8:29,EXT ML,3,N,N,5.97,206.052,01:12,27.227,CMFL,1025,65000,E.R. WELD,24,1433.9,1991.5,1430.7,1987.1,0.715,1.067,1.0,1.2,2022,Metal Loss_146.3,True,146.289,145.532
90,31.627,0.344,1.65,29.977,146.46,Metal Loss,External,20.0,0.069,35.0,GENE,20.0,,,,1.2,2.0,11:58,EXT ML,3,N,N,5.97,205.985,01:12,7.749,CMFL,1025,65000,E.R. WELD,24,1531.2,2126.7,1527.6,2121.6,0.669,1.142,1.0,1.2,2022,Metal Loss_146.5,True,146.46,145.70300000000003
90,31.627,0.344,30.574,1.053,175.384,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,5.7,2.9,8:07,EXT ML,3,N,N,5.97,194.421,01:12,31.835,CMFL,1025,65000,E.R. WELD,24,1451.2,2015.6,1432.6,1989.7,0.706,1.081,1.0,1.2,2022,Metal Loss_175.4,True,175.384,174.627
100,40.102,0.344,,,176.437,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,193.999,02:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_176.4,False,176.437,175.68000000000004
110,40.049,0.344,,,216.539,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,177.763,11:16,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_216.5,False,216.539,215.782
120,13.484,0.5,,,256.588,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,1,,,4.14,161.354,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_256.6,False,256.588,255.83100000000005
120,13.484,0.5,,,263.232,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 6.3D - 37Â° LEFT,1,,,4.14,159.254,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_263.2,False,263.232,262.475
120,13.484,0.5,8.579,4.905,265.167,Metal Loss,External,23.0,0.115,38.0,GENE,20.0,,,,2.1,3.4,12:03,EXT ML,1,N,N,4.14,158.751,UNKN,,CMFL,1025,60000,E.R. WELD,24,2051.2,2848.8,2040.3,2833.7,0.5,1.14,1.0,1.2,2022,Metal Loss_265.2,True,265.167,264.40999999999997
130,40.135,0.344,,,270.072,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,157.479,01:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_270.1,False,270.072,269.315
130,40.135,0.344,,,271.224,Attachment,,,,,,,,,,,,06:00,ATTACHMENT,0,,,5.97,157.179,01:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Attachment_271.2,False,271.224,270.467
140,40.082,0.344,,,310.207,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,153.163,11:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_310.2,False,310.207,309.45
150,10.377,0.5,,,350.289,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,155.649,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_350.3,False,350.289,349.532
150,10.377,0.5,,,355.335,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 5.7D - 26Â° RIGHT,0,,,4.14,155.928,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_355.3,False,355.335,354.578
160,17.005,0.344,,,360.666,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,156.134,11:52,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_360.7,False,360.666,359.909
170,8.215,0.5,,,377.671,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,157.117,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_377.7,False,377.671,376.914
170,8.215,0.5,,,381.68,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 6.0D - 18Â° UNDER,0,,,4.14,157.496,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_381.7,False,381.68,380.923
180,23.018,0.344,,,385.886,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,158.126,09:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_385.9,False,385.886,385.129
190,10.194,0.5,,,408.904,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,164.0,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_408.9,False,408.904,408.147
190,10.194,0.5,,,413.855,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 5.8D - 25Â° UNDER,0,,,4.14,165.545,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_413.9,False,413.855,413.098
200,12.087,0.344,,,419.098,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,3,,,5.97,167.417,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_419.1,False,419.098,418.341
200,12.087,0.344,4.006,8.081,423.104,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.2,2.0,11:18,EXT ML,3,N,N,5.97,169.08,UNKN,,CMFL,1025,65000,E.R. WELD,24,1521.4,2113.0,1516.1,2105.6,0.674,1.134,1.0,1.2,2022,Metal Loss_423.1,True,423.104,422.347
200,12.087,0.344,4.475,7.612,423.573,Metal Loss,External,12.0,0.041,27.0,AXGR,20.0,,,,2.4,1.0,11:02,EXT ML,3,N,N,5.97,169.321,UNKN,,CMFL,1025,65000,E.R. WELD,24,1517.7,2107.9,1511.7,2099.6,0.675,1.132,1.0,1.2,2022,Metal Loss_423.6,True,423.573,422.816
200,12.087,0.344,10.115,1.972,429.213,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.3,2.9,2:49,EXT ML,3,N,N,5.97,172.204,UNKN,,CMFL,1025,65000,E.R. WELD,24,1514.2,2103.0,1507.4,2093.6,0.677,1.129,1.0,1.2,2022,Metal Loss_429.2,True,429.213,428.456
210,9.304,0.5,,,431.184,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,173.212,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_431.2,False,431.184,430.427
210,9.304,0.5,,,435.771,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 5.2D - 25Â° OVER,0,,,4.14,174.744,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_435.8,False,435.771,435.014
215,7.503,0.344,,,440.489,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,1,,,5.97,175.317,08:36,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_440.5,False,440.489,439.73199999999997
215,7.503,0.344,0.315,7.188,440.804,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,15.0,8.8,6:21,EXT ML,1,N,N,5.97,175.355,08:36,14.451,CMFL,1025,65000,E.R. WELD,24,1396.0,1938.9,1399.6,1943.9,0.734,1.04,1.0,1.2,2022,Metal Loss_440.8,True,440.804,440.04699999999997
220,40.092,0.344,,,447.992,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,177.408,08:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_448.0,False,447.992,447.235
230,40.2,0.344,,,488.084,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,4,,,5.97,186.711,08:28,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_488.1,False,488.084,487.327
230,40.2,0.344,0.161,40.039,488.245,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,3.3,1.5,5:35,EXT ML,4,N,N,5.97,186.747,08:28,18.012,CMFL,1025,65000,E.R. WELD,24,1496.3,2078.2,1486.1,2064.1,0.685,1.114,1.0,1.2,2022,Metal Loss_488.2,True,488.245,487.488
230,40.2,0.344,29.091,11.109,517.175,Seam Weld Manufacturing Anomaly,,,,,,,,,,3.5,,8:31,SWA,4,N,N,5.97,189.334,08:28,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_517.2,False,517.175,516.418
230,40.2,0.344,35.515,4.685,523.599,Seam Weld Manufacturing Anomaly,,,,,,,,,,4.4,,8:34,*SWA,4,Y,Y,5.97,189.832,08:28,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_523.6,False,523.599,522.8420000000001
230,40.2,0.344,38.842,1.362,526.923,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.6,1.7,2:57,EXT ML,4,N,N,5.97,190.09,08:28,34.558,CMFL,1025,65000,E.R. WELD,24,1500.9,2084.6,1491.3,2071.2,0.683,1.119,1.0,1.2,2022,Metal Loss_526.9,True,526.923,526.166
240,40.312,0.344,,,528.284,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,10,,,5.97,190.196,03:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_528.3,False,528.284,527.527
240,40.312,0.344,0.184,40.128,528.468,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,14.9,19.6,7:02,EXT ML,10,N,N,5.97,190.21,03:20,27.855,CMFL,1025,65000,E.R. WELD,24,1308.5,1817.3,1339.0,1859.7,0.783,0.977,1.0,1.2,2022,Metal Loss_528.5,True,528.468,527.711
240,40.312,0.344,0.84,39.475,529.121,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,14.0,8.4,8:37,EXT ML,10,N,N,5.97,190.261,03:20,34.976,CMFL,1025,65000,E.R. WELD,24,1437.6,1996.6,1433.4,1990.9,0.713,1.073,1.0,1.2,2022,Metal Loss_529.1,True,529.121,528.364
240,40.312,0.344,1.007,39.304,529.291,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,2.5,2.0,4:13,EXT ML,10,N,N,5.97,190.274,03:20,5.655,CMFL,1025,65000,E.R. WELD,24,1502.1,2086.2,1492.6,2073.0,0.682,1.119,1.0,1.2,2022,Metal Loss_529.3,True,529.291,528.5340000000001
240,40.312,0.344,5.827,34.485,534.111,Metal Loss,External,27.0,0.093,42.0,GENE,20.0,,,,1.5,3.4,9:02,EXT ML,10,N,N,5.97,190.657,03:20,35.814,CMFL,1025,65000,E.R. WELD,24,1514.6,2103.6,1506.8,2092.8,0.677,1.128,1.0,1.2,2022,Metal Loss_534.1,True,534.111,533.354
240,40.312,0.344,6.257,34.058,534.537,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,4.1,1.8,8:56,EXT ML,10,N,N,5.97,190.691,03:20,35.186,CMFL,1025,65000,E.R. WELD,24,1490.4,2070.0,1479.4,2054.7,0.688,1.112,1.0,1.2,2022,Metal Loss_534.5,True,534.537,533.7800000000001
240,40.312,0.344,6.781,33.53,535.066,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.7,1.4,8:50,EXT ML,10,N,N,5.97,190.733,03:20,34.558,CMFL,1025,65000,E.R. WELD,24,1505.7,2091.2,1497.2,2079.4,0.681,1.121,1.0,1.2,2022,Metal Loss_535.1,True,535.066,534.3090000000001
240,40.312,0.344,7.323,32.992,535.604,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,1.6,1.3,8:46,EXT ML,10,N,N,5.97,190.776,03:20,34.139,CMFL,1025,65000,E.R. WELD,24,1527.3,2121.2,1523.0,2115.2,0.671,1.138,1.0,1.2,2022,Metal Loss_535.6,True,535.604,534.8470000000001
240,40.312,0.344,7.7,32.612,535.984,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,1.9,2.3,8:46,EXT ML,10,N,N,5.97,190.807,03:20,34.139,CMFL,1025,65000,E.R. WELD,24,1523.0,2115.3,1517.9,2108.2,0.673,1.134,1.0,1.2,2022,Metal Loss_536.0,True,535.984,535.2270000000001
240,40.312,0.344,38.967,1.348,567.247,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.5,2.8,4:36,EXT ML,10,N,N,5.97,193.312,03:20,7.959,CMFL,1025,65000,E.R. WELD,24,1513.7,2102.3,1506.9,2092.9,0.677,1.129,1.0,1.2,2022,Metal Loss_567.2,True,567.247,566.49
240,40.312,0.344,39.459,0.853,567.743,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,2.5,2.4,4:35,EXT ML,10,N,N,5.97,193.351,03:20,7.959,CMFL,1025,65000,E.R. WELD,24,1506.0,2091.6,1497.4,2079.7,0.681,1.123,1.0,1.2,2022,Metal Loss_567.7,True,567.743,566.9860000000001
250,40.135,0.344,,,568.596,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,14,,,5.97,193.42,02:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_568.6,False,568.596,567.839
250,40.135,0.344,2.428,37.707,571.024,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.0,1.9,5:58,EXT ML,14,N,N,5.97,193.614,02:20,22.829,CMFL,1025,65000,E.R. WELD,24,1525.7,2119.0,1521.2,2112.8,0.672,1.137,1.0,1.2,2022,Metal Loss_571.0,True,571.024,570.267
250,40.135,0.344,3.894,36.243,572.487,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,2.8,2.3,6:01,EXT ML,14,N,N,5.97,193.725,02:20,23.248,CMFL,1025,65000,E.R. WELD,24,1515.8,2105.3,1509.6,2096.6,0.676,1.13,1.0,1.2,2022,Metal Loss_572.5,True,572.487,571.73
250,40.135,0.344,4.905,35.23,573.501,Metal Loss,External,16.0,0.055,31.0,CIGR,25.0,,,,1.1,2.7,5:58,EXT ML,14,N,N,5.97,193.802,02:20,22.829,CMFL,1025,65000,E.R. WELD,24,1538.2,2136.5,1536.2,2133.6,0.666,1.147,1.0,1.2,2022,Metal Loss_573.5,True,573.501,572.744
250,40.135,0.344,7.917,32.218,576.512,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.6,5.2,6:21,EXT ML,14,N,N,5.97,194.029,02:20,23.667,CMFL,1025,65000,E.R. WELD,24,1481.1,2057.0,1472.1,2044.5,0.692,1.102,1.0,1.2,2022,Metal Loss_576.5,True,576.512,575.755
250,40.135,0.344,10.335,29.803,578.927,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,1.2,3.5,6:08,EXT ML,14,N,N,5.97,194.211,02:20,23.876,CMFL,1025,65000,E.R. WELD,24,1533.2,2129.5,1530.1,2125.1,0.669,1.143,1.0,1.2,2022,Metal Loss_578.9,True,578.927,578.1700000000001
250,40.135,0.344,10.84,29.295,579.436,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.5,1.9,6:08,EXT ML,14,N,N,5.97,194.25,02:20,24.295,CMFL,1025,65000,E.R. WELD,24,1478.5,2053.5,1491.0,2070.9,0.693,1.103,1.0,1.2,2022,Metal Loss_579.4,True,579.436,578.6790000000001
